shipment_id,order_date,supplier_id,route_id,product_category,order_value,weight_kg,expected_days,actual_days,delay_days,is_delayed,weather_risk,port_congestion,supplier_issue,demand_spike,transport_mode
1,2023-01-01,7,11,Packaging,91776.76,2474.7,23,23,0,0,0,0,0,0,Road
2,2023-01-01,9,1,Packaging,44359.13,4277.3,8,15,7,1,1,1,0,0,Sea
3,2023-01-01,14,13,Packaging,115772.2,1743.7,13,13,0,0,0,0,0,0,Road
4,2023-01-02,10,7,Electronics,70645.5,2280.7,7,7,0,0,0,0,0,0,Rail
5,2023-01-02,13,3,Electronics,120263.06,2963.2,6,7,1,1,1,0,0,0,Road
6,2023-01-02,18,5,Textile,6672.11,4702.8,13,20,7,1,0,1,1,0,Rail
7,2023-01-03,24,6,Raw Material,74802.25,3685.7,6,10,4,1,1,0,1,0,Road
8,2023-01-03,28,7,Electronics,142331.74,3517.0,7,9,2,1,0,1,0,0,Rail
9,2023-01-03,25,5,Packaging,83616.14,3513.4,13,16,3,1,0,1,0,0,Rail
10,2023-01-04,16,6,Textile,119046.84,4976.3,6,13,7,1,0,1,0,1,Road
11,2023-01-04,23,13,Electronics,103565.43,2795.8,13,13,0,0,0,0,0,0,Road
12,2023-01-04,2,11,Electronics,46509.77,926.4,23,24,1,1,1,0,0,0,Road
13,2023-01-05,8,11,Electronics,117360.15,2313.5,23,31,8,1,1,0,1,1,Road
14,2023-01-05,8,3,Electronics,10710.94,4208.8,6,7,1,1,0,0,1,0,Road
15,2023-01-05,15,5,Textile,31963.33,1887.0,13,13,0,0,0,0,0,0,Rail
16,2023-01-06,11,2,Textile,149024.49,4061.8,16,16,0,0,0,0,0,0,Air
17,2023-01-06,14,13,Textile,17943.75,1462.4,13,13,0,0,0,0,0,0,Road
18,2023-01-06,11,6,Electronics,118576.23,4586.1,6,6,0,0,0,0,0,0,Road
19,2023-01-07,15,1,Raw Material,139792.95,886.8,8,8,0,0,0,0,0,0,Sea
20,2023-01-07,25,8,Raw Material,130483.34,3445.6,17,17,0,0,0,0,0,0,Sea
21,2023-01-07,14,8,Raw Material,18430.65,4766.9,17,17,0,0,0,0,0,0,Sea
22,2023-01-08,4,1,Packaging,194833.41,568.6,8,12,4,1,0,1,0,0,Sea
23,2023-01-08,6,10,Raw Material,7854.84,1755.7,13,18,5,1,0,1,0,0,Air
24,2023-01-08,19,9,Raw Material,94308.39,982.1,10,12,2,1,1,0,0,0,Road
25,2023-01-09,13,13,Textile,186583.68,2505.4,13,13,0,0,0,0,0,0,Road
26,2023-01-09,22,11,Textile,157002.45,494.1,23,23,0,0,0,0,0,0,Road
27,2023-01-09,6,13,Textile,132437.76,3611.9,13,14,1,1,1,0,0,0,Road
28,2023-01-10,19,13,Packaging,106968.72,3290.8,13,21,8,1,1,1,0,0,Road
29,2023-01-10,15,1,Raw Material,81663.92,4761.7,8,8,0,0,0,0,0,0,Sea
30,2023-01-10,13,10,Electronics,93815.62,1289.7,13,15,2,1,1,0,0,0,Air
31,2023-01-11,21,3,Textile,29739.54,263.3,6,6,0,0,0,0,0,0,Road
32,2023-01-11,30,1,Raw Material,191836.83,4815.0,8,8,0,0,0,0,0,0,Sea
33,2023-01-11,30,2,Electronics,53427.02,183.3,16,16,0,0,0,0,0,0,Air
